Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Packaging~String~Packaging~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~28 pic project.PrjPCB|ReportField=ProjectFullPath~G:\Skills\Altium Designer\Work Files\learn to desigen your own board\28 pic project.PrjPCB|ReportField=Title~group ref Bill of Materials For Variant [5V/3V3] of Project [28 pic project.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:25:57 AM|ReportField=ReportDate~02-Sep-21|ReportField=ReportDateTime~02-Sep-21 10:25:57 AM|ReportField=OutputName~group ref Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~5V/3V3|ReportField=TotalQuantity~95|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=company~A B A MISHU|ReportField=Notfitted~NF|ReportField=Project~28-PIN PROJECT|ReportField=title~28pins|ReportField=VersionRevision~[V1R1]|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~02-Sep-21|ReportField=CurrentTime~10:06:01 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~G:\Skills\Altium Designer\Work Files\learn to desigen your own board\28Pins_Project_V1I1 Project.SchDoc|ReportField=DocumentName~28Pins_Project_V1I1 Project.SchDoc|ReportField=DocumentNumber~5|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~09-Jul-21|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.07:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=ProjectName~28 pic project.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~5|ReportField=SheetTotal~5|ReportField=Time~|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=DataSourceFileName~28 pic project.PrjPCB|ReportField=DataSourceFullPath~G:\Skills\Altium Designer\Work Files\learn to desigen your own board\28 pic project.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100K|YAGEO         RC0805FR-07100KL            RES, THICK FILM, 100K, 1%, 0.125W, 0805, REEL|R1|Yageo|RC0805FR-07100KL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-100KCRTR-ND{URL.TIP}Supplier
2|CG0603MLC-05E|VARISTOR 0603|Z1|Bourns|CG0603MLC-05E|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}CG0603MLC-05ETR-ND{URL.TIP}Supplier
3|CG0603MLC-05E|VARISTOR 0603|Z2|Bourns|CG0603MLC-05E|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}CG0603MLC-05ETR-ND{URL.TIP}Supplier
4|SN74AHC1G09DBVR|TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5|U4|Texas Instruments|SN74AHC1G09DBVR|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}296-29202-2-ND{URL.TIP}Supplier
5|SN74AHC1G09DBVR|TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5|U5|Texas Instruments|SN74AHC1G09DBVR|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}296-29202-2-ND{URL.TIP}Supplier
6|SN74AHC1G09DBVR|TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5|U6|Texas Instruments|SN74AHC1G09DBVR|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}296-29202-2-ND{URL.TIP}Supplier
7|SN74AHC1G09DBVR|TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5|U7|Texas Instruments|SN74AHC1G09DBVR|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}296-29202-2-ND{URL.TIP}Supplier
8|FSM4JH|TE CONNECTIVITY / ALCOSWITCH - FSM4JH - SWITCH, SPNO, 0.05A|SW1|TE Connectivity|FSM4JH|Loose Piece|1|Digi-Key|{URL}{URL.TEXT}450-1650-ND{URL.TIP}Supplier
9|FSM4JH|TE CONNECTIVITY / ALCOSWITCH - FSM4JH - SWITCH, SPNO, 0.05A|SW2|TE Connectivity|FSM4JH|Loose Piece|1|Digi-Key|{URL}{URL.TEXT}450-1650-ND{URL.TIP}Supplier
10|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C11|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
11|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C14|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
12|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C15|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
13|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C16|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
14|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C17|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
15|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C20|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
16|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C23|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
17|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C24|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
18|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C26|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
19|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C28|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
20|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C29|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
21|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C30|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
22|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C31|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
23|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C32|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
24|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C33|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
25|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C4|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
26|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C5|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
27|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C6|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
28|100n|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C8|TDK|C2012X7R1H104K085AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-7534-6-ND{URL.TIP}Supplier
29|1uF/25V|TDK - C2012X5R1E105K125AA - SMD Multilayer Ceramic Capacitor, 1 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, C Series|C7|TDK|C2012X5R1E105K125AA|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}445-1419-2-ND{URL.TIP}Supplier
30|560R|Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]|R15|Yageo|RC0805FR-07560RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-560CRTR-ND{URL.TIP}Supplier
31|560R|Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]|R17|Yageo|RC0805FR-07560RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-560CRTR-ND{URL.TIP}Supplier
32|560R|Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]|R2|Yageo|RC0805FR-07560RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-560CRTR-ND{URL.TIP}Supplier
33|560R|Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]|R22|Yageo|RC0805FR-07560RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-560CRTR-ND{URL.TIP}Supplier
34|560R|Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]|R3|Yageo|RC0805FR-07560RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-560CRTR-ND{URL.TIP}Supplier
35|0R|Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]|R8|Yageo|RC0805JR-070RL|Tape and Reel|1|Digi-Key|{URL}{URL.TEXT}311-0.0ARDKR-ND{URL.TIP}Supplier
